XXXXXXX
index,value
0,0
1,0
2,0
3,0
4,10
5,10
6,10
7,10
8,20
9,20
10,20
11,20
12,30
13,30
14,30
15,30
16,40
17,40
18,40
19,40
20,50
21,50
22,50
23,50
24,60
25,60
26,60
27,60
28,67
29,67
30,67
31,67
32,72
33,72
34,72
35,72
36,77
37,77
38,77
39,77
40,82
41,82
42,82
43,82
44,87
45,87
46,87
47,87
48,92
49,92
50,92
51,92
52,96
53,96
54,96
55,96
56,99
57,99
58,99
59,99
60,102
61,102
62,102
63,102
64,105
65,105
66,105
67,105
68,108
69,108
70,108
71,108
72,110
73,110
74,110
75,110
76,112
77,112
78,112
79,112
80,114
81,114
82,114
83,114
84,116
85,116
86,116
87,116
88,118
89,118
90,118
91,118
92,120
93,120
94,120
95,120
96,122
97,122
98,122
99,122
100,124
101,124
102,124
103,124
104,126
105,126
106,126
107,126
108,128
109,128
110,128
111,128
112,130
113,130
114,130
115,130
116,132
117,132
118,132
119,132
120,134
121,134
122,134
123,134
124,136
125,136
126,136
127,136
128,138
129,138
130,138
131,138
132,140
133,140
134,140
135,140
136,142
137,142
138,142
139,142
140,144
141,144
142,144
143,144
144,145
145,145
146,145
147,145
148,146
149,146
150,146
151,146
152,147
153,147
154,147
155,147
156,148
157,148
158,148
159,148
160,149
161,149
162,149
163,149
164,150
165,150
166,150
167,150
168,151
169,151
170,151
171,151
172,152
173,152
174,152
175,152
176,153
177,153
178,153
179,153
180,154
181,154
182,154
183,154
184,155
185,155
186,155
187,155
188,156
189,156
190,156
191,156
192,157
193,157
194,157
195,157
196,158
197,158
198,158
199,158
200,159
201,159
202,159
203,159
204,160
205,160
206,160
207,160
208,161
209,161
210,161
211,161
212,162
213,162
214,162
215,162
216,163
217,163
218,163
219,163
220,164
221,164
222,164
223,164
224,165
225,165
226,165
227,165
228,166
229,166
230,166
231,166
232,167
233,167
234,167
235,167
236,168
237,168
238,168
239,168
240,169
241,169
242,169
243,169
244,170
245,170
246,170
247,170
248,171
249,171
250,171
251,171
252,172
253,172
254,172
255,172
256,173
257,173
258,173
259,173
260,174
261,174
262,174
263,174
264,175
265,175
266,175
267,175
268,176
269,176
270,176
271,176
272,177
273,177
274,177
275,177
276,177
277,177
278,177
279,177
280,178
281,178
282,178
283,178
284,178
285,178
286,178
287,178
288,179
289,179
290,179
291,179
292,179
293,179
294,179
295,179
296,180
297,180
298,180
299,180
300,180
301,180
302,180
303,180
304,181
305,181
306,181
307,181
308,181
309,181
310,181
311,181
312,182
313,182
314,182
315,182
316,182
317,182
318,182
319,182
320,183
321,183
322,183
323,183
324,183
325,183
326,183
327,183
328,184
329,184
330,184
331,184
332,184
333,184
334,184
335,184
336,185
337,185
338,185
339,185
340,185
341,185
342,185
343,185
344,186
345,186
346,186
347,186
348,186
349,186
350,186
351,186
352,187
353,187
354,187
355,187
356,187
357,187
358,187
359,187
360,188
361,188
362,188
363,188
364,188
365,188
366,188
367,188
368,189
369,189
370,189
371,189
372,189
373,189
374,189
375,189
376,190
377,190
378,190
379,190
380,190
381,190
382,190
383,190
384,191
385,191
386,191
387,191
388,191
389,191
390,191
391,191
392,192
393,192
394,192
395,192
396,192
397,192
398,192
399,192
400,193
401,193
402,193
403,193
404,193
405,193
406,193
407,193
408,194
409,194
410,194
411,194
412,194
413,194
414,194
415,194
416,195
417,195
418,195
419,195
420,195
421,195
422,195
423,195
424,196
425,196
426,196
427,196
428,196
429,196
430,196
431,196
432,197
433,197
434,197
435,197
436,197
437,197
438,197
439,197
440,198
441,198
442,198
443,198
444,198
445,198
446,198
447,198
448,199
449,199
450,199
451,199
452,199
453,199
454,199
455,199
456,200
457,200
458,200
459,200
460,200
461,200
462,200
463,200
464,201
465,201
466,201
467,201
468,201
469,201
470,201
471,201
472,202
473,202
474,202
475,202
476,202
477,202
478,202
479,202
480,203
481,203
482,203
483,203
484,203
485,203
486,203
487,203
488,204
489,204
490,204
491,204
492,204
493,204
494,204
495,204
496,205
497,205
498,205
499,205
500,205
501,205
502,205
503,205
504,206
505,206
506,206
507,206
508,206
509,206
510,206
511,206
512,207
513,207
514,207
515,207
516,207
517,207
518,207
519,207
520,208
521,208
522,208
523,208
524,208
525,208
526,208
527,208
528,209
529,209
530,209
